No,date,tournament,type,player,round,url
1,"March 1, 2026",Chessmates Rapid Chess Grand Prix - 1950 & Below,Individual Swiss,84,7,https://s2.chess-results.com/tnr1363675.aspx
2,"March 7, 2026",3x3 Chessmates Team Tournament Grand Prix,Team Swiss,120,7,https://s3.chess-results.com/tnr1367525.aspx
3,"April 18, 2026",Chessmates Chess Grand Prix 2 - Road to Thailand2 1950 & Below,Individual Swiss,80,7,https://s1.chess-results.com/tnr1394344.aspx
4,"April 26, 2026",Chessmates 3X3 Grand Prix 2 - 2000 & BELOW,Team Swiss,114,7,https://s2.chess-results.com/tnr1402816.aspx
5,"May 17, 2026","Sir Jessie Villasins ""Tatang Bibo"" Chess Team Tournament 2x2",Team Swiss,100,7,https://s3.chess-results.com/tnr1418127.aspx
